"Geo","Year","HighCarSvcCost.2020","LowCarSvcCost.2020","AveCarSvcVehicleAge","AutoCarSvcSubProp","LtTrkCarSvcSubProp","ShdCarSvcCost.2020","UnShdCarSvcCost.2020","LowCarSvcDeadheadProp","HighCarSvcDeadheadProp","ShdCarSvcDeadheadFactor","UnShdCarSvcDeadheadFactor"
1,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
2,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
3,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
4,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
5,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
6,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
7,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
8,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
9,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
10,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
11,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
12,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
13,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
14,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
15,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
16,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
17,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
18,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
19,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
20,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
21,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
22,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
23,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
24,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
25,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
26,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
27,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
28,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
29,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
30,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
31,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
32,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
33,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
34,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
35,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
36,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
37,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
38,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
39,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
40,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
41,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
42,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
43,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
44,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
45,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
46,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
47,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
48,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
49,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
50,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
51,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
52,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
53,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
54,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
55,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
56,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
57,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
58,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
59,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
60,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
61,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
62,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
63,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
64,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
65,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
66,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
67,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
68,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
69,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
70,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
71,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
72,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
73,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
74,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
75,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
76,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
77,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
78,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
79,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
80,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
1,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
2,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
3,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
4,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
5,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
6,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
7,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
8,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
9,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
10,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
11,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
12,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
13,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
14,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
15,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
16,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
17,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
18,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
19,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
20,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
21,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
22,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
23,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
24,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
25,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
26,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
27,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
28,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
29,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
30,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
31,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
32,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
33,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
34,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
35,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
36,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
37,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
38,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
39,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
40,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
41,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
42,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
43,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
44,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
45,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
46,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
47,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
48,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
49,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
50,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
51,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
52,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
53,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
54,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
55,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
56,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
57,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
58,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
59,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
60,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
61,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
62,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
63,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
64,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
65,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
66,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
67,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
68,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
69,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
70,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
71,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
72,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
73,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
74,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
75,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
76,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
77,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
78,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
79,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
80,2050,2,3.5,6,0.95,0.75,2,2,0,1,1,1
